id,name,city,state,country,website,unitid,ownership,source,level
1,University of California," Berkeley",Berkeley,CA,USA,,https://www.berkeley.edu,,Public
2,University of California," Los Angeles (UCLA)",Los Angeles,CA,USA,,https://www.ucla.edu,,Public
3,University of California," San Diego (UCSD)",La Jolla,CA,USA,,https://www.ucsd.edu,,Public
4,University of California," Davis",Davis,CA,USA,,https://www.ucdavis.edu,,Public
5,University of California," Irvine",Irvine,CA,USA,,https://www.uci.edu,,Public
6,University of California," Santa Barbara",Santa Barbara,CA,USA,,https://www.ucsb.edu,,Public
7,University of California," Riverside",Riverside,CA,USA,,https://www.ucr.edu,,Public
8,University of California," Santa Cruz",Santa Cruz,CA,USA,,https://www.ucsc.edu,,Public
9,University of California," Merced",Merced,CA,USA,,https://www.ucmerced.edu,,Public
10,California State University," Los Angeles",Los Angeles,CA,USA,,https://www.calstatela.edu,,Public
11,California State University," Northridge",Northridge,CA,USA,,https://www.csun.edu,,Public
12,California State University," Long Beach",Long Beach,CA,USA,,https://www.csulb.edu,,Public
13,California State University," Fullerton",Fullerton,CA,USA,,https://www.fullerton.edu,,Public
14,California State University," Sacramento",Sacramento,CA,USA,,https://www.csus.edu,,Public
15,California State University," San Bernardino",San Bernardino,CA,USA,,https://www.csusb.edu,,Public
16,California State University," Fresno",Fresno,CA,USA,,https://www.fresnostate.edu,,Public
17,California State University," San Marcos",San Marcos,CA,USA,,https://www.csusm.edu,,Public
18,California State University," Stanislaus",Turlock,CA,USA,,https://www.csustan.edu,,Public
19,California State University," East Bay",Hayward,CA,USA,,https://www.csueastbay.edu,,Public
20,California State University," Monterey Bay",Seaside,CA,USA,,https://www.csumb.edu,,Public
21,California State University," Channel Islands",Camarillo,CA,USA,,https://www.csuci.edu,,Public
22,California State University," Bakersfield",Bakersfield,CA,USA,,https://www.csub.edu,,Public
23,California State University," Chico",Chico,CA,USA,,https://www.csuchico.edu,,Public
24,California State University," Dominguez Hills",Carson,CA,USA,,https://www.csudh.edu,,Public
25,California State University," Humboldt",Arcata,CA,USA,,https://www.humboldt.edu,,Public
26,California State University," Maritime Academy",Vallejo,CA,USA,,https://www.csum.edu,,Public
27,San Diego State University,San Diego,CA,USA,https://www.sdsu.edu,,Public,,4-year
28,San Francisco State University,San Francisco,CA,USA,https://www.sfsu.edu,,Public,,4-year
29,San José State University,San Jose,CA,USA,https://www.sjsu.edu,,Public,,4-year
30,Sonoma State University,Rohnert Park,CA,USA,https://www.sonoma.edu,,Public,,4-year
31,Stanford University,Stanford,CA,USA,https://www.stanford.edu,,Private,,4-year
32,University of Southern California (USC),Los Angeles,CA,USA,https://www.usc.edu,,Private,,4-year
33,Pepperdine University,Malibu,CA,USA,https://www.pepperdine.edu,,Private,,4-year
34,Loyola Marymount University,Los Angeles,CA,USA,https://www.lmu.edu,,Private,,4-year
35,University of San Diego,San Diego,CA,USA,https://www.sandiego.edu,,Private,,4-year
36,University of San Francisco,San Francisco,CA,USA,https://www.usfca.edu,,Private,,4-year
